A_lyrata1	A_lyrata2	A_thal1	A_thal2	Aethionema_arabicum1	Brassica_oleracea1	Brassica_oleracea2	Brassica_rapa1	Brassica_rapa2	C_grandiflora1	C_grandiflora2	C_rubella1	C_rubella2	Euclidium_syriacum1	Euclidium_syriacum2	Eutrema_salsugineum1	Eutrema_salsugineum2	Raphanus_sativus1	Raphanus_sativus2
A_lyrata1	0	0.0207558338429422	0.042041018072087	0.0422443597258961	0.0607700233030475	0.0495407209691831	0.0478459749962727	0.064243149839324	0.0619239106793374	0.0469478076117566	0.0447473420208794	0.0447461753897389	0.0433953851819012	0.0421146067659755	0.0420241398108448	0.0467054827635273	0.0452323860706583	0.0467794339603867	0.0461698118747009
A_lyrata2	0.0207558338429422	0	0.0403888722836308	0.0407617819743517	0.0600652907477415	0.0477588284256837	0.0461766699612152	0.0623107183901331	0.0599223154475413	0.0454641163270777	0.0434034370297055	0.0434091325865952	0.0417844911320717	0.0423245761135752	0.0421294246690028	0.0449623816111982	0.0438936478950478	0.0448259965595285	0.0443440074150229
A_thal1	0.042041018072087	0.0403888722836308	0	0.0215513361981923	0.0702019471865032	0.0483882443674108	0.0478784466173256	0.0697716591295583	0.0655477448965658	0.0374619268734772	0.0357519201418677	0.0353497357145167	0.0344723343899296	0.0484905552491361	0.048638064870713	0.0468998311338737	0.0466656746528852	0.0443802142531994	0.0440519478880261
A_thal2	0.0422443597258961	0.0407617819743517	0.0215513361981923	0	0.0707905096053134	0.0494558130993696	0.0485580315634229	0.0704155025415396	0.0665482090127887	0.0383041286829617	0.036982223272607	0.0368404127981369	0.035985454607533	0.048189978788471	0.0484892051402801	0.0475178357414467	0.0470960605287698	0.0452073307863738	0.0452414820222333
Aethionema_arabicum1	0.0607700233030475	0.0600652907477415	0.0702019471865032	0.0707905096053134	0	0.0597367965493269	0.0590369511502458	0.0537185704601599	0.0548473180694248	0.0779751368990205	0.0743085159832407	0.0740497907992733	0.0719816771653626	0.056159862100021	0.0555916055726219	0.0595688209120374	0.0590764094510926	0.0614149699743139	0.0618136217493966
Brassica_oleracea1	0.0495407209691831	0.0477588284256837	0.0483882443674108	0.0494558130993696	0.0597367965493269	0	0.0172524951511323	0.0494338151831735	0.0445741521899545	0.0541964415187521	0.0510138264017751	0.0504381176810363	0.0495577968800067	0.0494071661362653	0.049408531880911	0.0462549141289184	0.0459819145911365	0.0385698823329595	0.0383355866414765
Brassica_oleracea2	0.0478459749962727	0.0461766699612152	0.0478784466173256	0.0485580315634229	0.0590369511502458	0.0172524951511323	0	0.049237704197997	0.0453059746693532	0.052717483851172	0.049889171421844	0.0497230168052273	0.0487640240997071	0.047364550853063	0.0472565098356738	0.045663456730389	0.0449723787424536	0.0381155101317481	0.0379997220786645
Brassica_rapa1	0.064243149839324	0.0623107183901331	0.0697716591295583	0.0704155025415396	0.0537185704601599	0.0494338151831735	0.049237704197997	0	0.0254725371408928	0.0781124466835268	0.0739537722564668	0.0737564644302247	0.0718363567875663	0.0609755642943012	0.0608867893509006	0.0590245542986758	0.058935702031562	0.0570348175655649	0.0573639669107598
Brassica_rapa2	0.0619239106793374	0.0599223154475413	0.0655477448965658	0.0665482090127887	0.0548473180694248	0.0445741521899545	0.0453059746693532	0.0254725371408928	0	0.0737683352807399	0.0695308459910672	0.0690317545160051	0.067663914915013	0.059678679872263	0.059650778987367	0.0568965994012305	0.056842085120743	0.0530214231622503	0.0530981375820799
C_grandiflora1	0.0469478076117566	0.0454641163270777	0.0374619268734772	0.0383041286829617	0.0779751368990205	0.0541964415187521	0.052717483851172	0.0781124466835268	0.0737683352807399	0	0.0191614878438206	0.0227721148547056	0.02293749052142	0.0528470197105003	0.0532983478990129	0.0525404122047195	0.0525466165756163	0.04823183017224	0.0481988260989822
C_grandiflora2	0.0447473420208794	0.0434034370297055	0.0357519201418677	0.036982223272607	0.0743085159832407	0.0510138264017751	0.049889171421844	0.0739537722564668	0.0695308459910672	0.0191614878438206	0	0.020743818051642	0.0204718931459454	0.0509675432665681	0.0512674025419733	0.0499125589242449	0.050059757254104	0.0459928990782446	0.045552755417347
